timestamp,target:Power,exog:IsHoliday,exog:Hour,exog:DayOfWeek,exog:SimOccupancy,exog:OutdoorTemp,exog:TempDiff
2015-11-02 11:00:00+00:00,55627.80476989719,False,11,0,1.0,21.0,3.0
2015-11-02 12:00:00+00:00,57657.393754672674,False,12,0,1.0,21.0,3.0
2015-11-02 13:00:00+00:00,57499.701084978005,False,13,0,1.0,21.2,3.1999999999999993
2015-11-02 14:00:00+00:00,53682.06363027653,False,14,0,1.0,21.0,3.0
2015-11-02 15:00:00+00:00,52798.36674594844,False,15,0,1.0,21.0,3.0
2015-11-02 16:00:00+00:00,49751.54225863516,False,16,0,1.0,19.5,1.5
2015-11-02 17:00:00+00:00,56432.962579396844,False,17,0,1.0,16.0,2.0
2015-11-02 18:00:00+00:00,59427.48458349466,False,18,0,0.5,16.0,2.0
2015-11-02 19:00:00+00:00,58633.917304707575,False,19,0,0.5,15.5,2.5
2015-11-02 20:00:00+00:00,50561.54794843285,False,20,0,0.5,15.0,3.0
2015-11-02 21:00:00+00:00,32123.010774864808,False,21,0,0.2,15.0,3.0
2015-11-02 22:00:00+00:00,26007.307358882397,False,22,0,0.2,14.3,3.6999999999999993
2015-11-02 23:00:00+00:00,26884.927322836884,False,23,0,0.2,13.0,5.0
2015-11-03 00:00:00+00:00,27728.219514680968,False,0,1,0.2,12.0,6.0
2015-11-03 01:00:00+00:00,26201.80295083963,False,1,1,0.2,12.0,6.0
2015-11-03 02:00:00+00:00,25704.212420248656,False,2,1,0.2,10.0,8.0
2015-11-03 03:00:00+00:00,25345.622908203222,False,3,1,0.2,10.0,8.0
2015-11-03 04:00:00+00:00,24677.571347132616,False,4,1,0.2,10.0,8.0
2015-11-03 05:00:00+00:00,25214.30339012993,False,5,1,0.2,9.0,9.0
2015-11-03 06:00:00+00:00,24217.654308857745,False,6,1,0.2,10.0,8.0
2015-11-03 07:00:00+00:00,35437.25389861851,False,7,1,0.2,11.0,7.0
2015-11-03 08:00:00+00:00,48667.51184199093,False,8,1,0.6,15.0,3.0
2015-11-03 09:00:00+00:00,50538.05962698883,False,9,1,0.6,18.0,0.0
2015-11-03 10:00:00+00:00,50605.2130111173,False,10,1,0.6,18.3,0.3000000000000007
2015-11-03 11:00:00+00:00,56407.59655783738,False,11,1,1.0,22.0,4.0
2015-11-03 12:00:00+00:00,58618.468953757845,False,12,1,1.0,23.0,5.0
2015-11-03 13:00:00+00:00,57260.65279028175,False,13,1,1.0,23.5,5.5
2015-11-03 14:00:00+00:00,53724.58500289066,False,14,1,1.0,27.0,9.0
2015-11-03 15:00:00+00:00,51381.67614885287,False,15,1,1.0,20.0,2.0
2015-11-03 16:00:00+00:00,51327.99099555238,False,16,1,1.0,18.5,0.5
2015-11-03 17:00:00+00:00,57630.8499030408,False,17,1,1.0,15.0,3.0
2015-11-03 18:00:00+00:00,60147.18996774085,False,18,1,0.5,15.0,3.0
2015-11-03 19:00:00+00:00,59804.1000166483,False,19,1,0.5,14.7,3.3000000000000007
2015-11-03 20:00:00+00:00,49265.047228726326,False,20,1,0.5,12.0,6.0
2015-11-03 21:00:00+00:00,28940.035959181263,False,21,1,0.2,11.0,7.0
2015-11-03 22:00:00+00:00,27513.93979150744,False,22,1,0.2,11.0,7.0
2015-11-03 23:00:00+00:00,29945.954051023287,False,23,1,0.2,11.0,7.0
2015-11-04 00:00:00+00:00,27516.43201166065,False,0,2,0.2,10.0,8.0
2015-11-04 01:00:00+00:00,27448.305637472367,False,1,2,0.2,9.5,8.5
2015-11-04 02:00:00+00:00,27397.966204377597,False,2,2,0.2,9.0,9.0
2015-11-04 03:00:00+00:00,25037.560599264107,False,3,2,0.2,9.0,9.0
2015-11-04 04:00:00+00:00,25884.352141323325,False,4,2,0.2,9.0,9.0
2015-11-04 05:00:00+00:00,27995.60401111928,False,5,2,0.2,8.0,10.0
2015-11-04 06:00:00+00:00,26883.117902725644,False,6,2,0.2,8.0,10.0
2015-11-04 07:00:00+00:00,31404.175960672143,False,7,2,0.2,9.0,9.0
2015-11-04 08:00:00+00:00,45536.29326948925,False,8,2,0.6,14.0,4.0
2015-11-04 09:00:00+00:00,47451.61566723981,False,9,2,0.6,16.0,2.0
2015-11-04 10:00:00+00:00,51796.47717435408,False,10,2,0.6,17.7,0.3000000000000007
2015-11-04 11:00:00+00:00,58513.266537290176,False,11,2,1.0,22.0,4.0
2015-11-04 12:00:00+00:00,57563.95256892808,False,12,2,1.0,22.0,4.0
2015-11-04 13:00:00+00:00,56926.25146972336,False,13,2,1.0,21.7,3.6999999999999993
2015-11-04 14:00:00+00:00,52861.74765984499,False,14,2,1.0,20.0,2.0
2015-11-04 15:00:00+00:00,48143.001919745,False,15,2,1.0,19.0,1.0
